year,month,panel_code,panel_code_new,type_method,type_method_etc,type_channel_new,type_channel,type_channel_etc,shop_day,shop_week,store,store_code,store_region,product,product_code,wide,middle,detail,country,purchase,discount,quantity,q_unit,weight_quantity,w_q_unit,multi_quantity,m_unit,w_multi_quantity,w_multi_unit,w_q_kg,w_q_kg_unit,unit_cost,special_diary,bill,bundle,payment,retail,retail_8,retail_new,shop_time,take_out,transport_pre,transport_post,panel_type,edit,family_num_level,age1_group,income_v2
2013,10,PN00000950,A20000950,,,슈퍼마켓,슈퍼마켓,,2013-10-11,6,소형슈퍼마켓,,서울,신고배,,과일류,배,신고배,,5960.0,,2,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,50,600~699만원
2023,5,PN20210175,,모바일주문,,온라인몰,온라인몰,,2023-05-06,7,이마트몰,,없음,큐티오렌지_미국산,PR2023_0072152,과일류,오렌지,오렌지,,7830.0,,1.0,봉,2.25,KG,15,개,,,,,,,무,,,,,,,,,,21.0,0,4,50,700만원 이상
2014,7,PN00001178,A20001178,,,전통시장,전통시장,,2014-07-18,6,재래시장,,인천,포도,,과일류,포도,기타포도,,7000.0,,4,송이,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,4,40,200~299만원
2015,10,PN20150737,A40150737,,,전통시장,전통시장,,2015-10-09,6,재래시장,,서울,사과,,과일류,사과,기타사과,,5000.0,.,10,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,15.0,1,3,60,200~299만원
2013,8,PN00000422,A20000422,,,전통시장,전통시장,,2013-08-24,7,재래시장,,경기,천도복숭아,,과일류,복숭아,천도,,10000.0,,10,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,,0,,,0.0,0,4,40,700만원 이상
2016,12,PN00000390,A20000390,,,슈퍼마켓,기업형슈퍼마켓,,2016-12-24,7,대덕농협하나로마트본점,,경기,감귤,,과일류,감귤,밀감,,10500.0,.,1,박스,5,KG,.,,,,5,KG,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,3,50,400~499만원
2018,10,PN20150501,A40150501,,,대형마트,대형마트,,2018-10-07,1,이마트계양점,,인천,햇사레복숭아,,과일류,복숭아,일반복숭아,,15260.0,.,1,,.,,.,,,,.,,,0,,.,,,1대형마트,대형마트,1,0,,,15.0,0,3,60,400~499만원
2019,4,PN00001318,A20001318,,,슈퍼마켓,기업형슈퍼마켓,,2019-04-20,7,GS슈퍼마켓인천마장점,,인천,사과,,과일류,사과,기타사과,,9800.0,.,1,,.,,10,개,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,4,40,300~399만원
2018,5,PN00001299,A20001299,,,슈퍼마켓,슈퍼마켓,,2018-05-31,5,(주)세계로유통연수점,,인천,바나나_필리핀산_,,과일류,바나나,일반바나나,,3960.0,.,2,송이,.,,.,,,,.,,,,,.,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,4,40,200~299만원
2022,3,PN00000481,A20000481,,,전통시장,전통시장,,2022-03-08,3,부곡도깨비시장중앙청과,,경기,배_국내산,P,과일류,배,기타배,,10000.0,.,1,,2190,G,3,,7,G,,,.,,,,,,,,,,,,0.0,.,5,50,600~699만원
2023,5,PN20210862,,직접방문,,전통시장,전통시장,,2023-05-17,4,일등과일,,인천,바나나_필리핀,PR1020_0432331,과일류,바나나,일반바나나,,4000.0,,1.0,송이,1350.0,G,,,,,,,,,무,,,,,,,,,,21.0,0,3,30,700만원 이상
2014,9,PN00001172,A20001172,,,전통시장,전통시장,,2014-09-29,2,재래시장,,인천,귤_대_,,과일류,감귤,밀감,,5000.0,,1,망,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,5,30,300~399만원
2011,10,PN00000822,A20000822,,,전문점,전문점,,2011-10-19,4,전문점,,서울,바나나,,과일류,바나나,일반바나나,,4000.0,,1,송이,.,,.,,,,.,,,,,,,,5전문점,전문점,.,0,,,0.0,0,4,50,200~299만원
2021,4,PN00000950,A20000950,,,전문점,전문점,,2021-04-05,2,우리생협OASIS,S,서울,고산지바나나_스위티마,P,과일류,바나나,일반바나나,,2200.0,1,1,개,.,,.,,.,,.,,3.0,1,,,,,5전문점,전문점,1,0,,,0.0,0,2,60,400~499만원
2017,6,PN00000247,A20000247,,,전통시장,전통시장,,2017-06-26,2,전통시장,,경기,털복숭아,,과일류,복숭아,백도,,6000.0,.,8,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,4,30,200~299만원
2015,3,PN00001250,A20001250,,,대형마트,대형마트,,2015-03-30,2,롯데마트부평점,,인천,돌스위티오바나나,,과일류,바나나,일반바나나,,3900.0,.,1,개,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,0.0,1,3,50,600~699만원
2018,9,PN00000333,A20000333,,,온라인몰,인터넷구매,,2018-09-22,7,롯데마트MALL,,없음,GAP하우스감귤_국산_,,과일류,감귤,밀감,,10900.0,.,1,팩,1,KG,.,,,,1,KG,,,,.,,,6무점포,인터넷구매,.,0,,,0.0,0,4,40,400~499만원
2015,7,PN00000148,A20000148,,,전통시장,전통시장,,2015-07-30,5,재래시장,,경기,복숭아,,과일류,복숭아,일반복숭아,,3000.0,.,6,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,5,40,200~299만원
2013,2,PN00001160,A20001160,,,슈퍼마켓,슈퍼마켓,,2013-02-13,4,소형슈퍼마켓,,경기,감귤,,과일류,감귤,밀감,,3000.0,,1,봉,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,3,30,200~299만원
2015,10,PN00000147,A20000147,,,슈퍼마켓,슈퍼마켓,,2015-10-30,6,대형슈퍼마켓,,경기,부사,,과일류,사과,후지,,4900.0,.,1,봉,1583,G,5,입,,,2,KG,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,4,40,600~699만원
2018,2,PN00000044,A20000044,,,슈퍼마켓,슈퍼마켓,,2018-02-27,3,자유로마트(덕이점),,경기,단감,,과일류,단감,단감,,3900.0,.,1,,.,,.,,,,.,,,,,.,,,3슈퍼마켓,슈퍼마켓,2,0,,,0.0,0,5,50,700만원 이상
2015,6,PN00001423,A20001423,,,슈퍼마켓,기업형슈퍼마켓,,2015-06-27,7,농협하나로마트창동점,,서울,블루베리특_국내산_,,과일류,베리,블루베리,,62500.0,.,25,팩,100,G,.,,,,0,KG,,,,,,,3슈퍼마켓,기업형슈퍼마켓,9,0,,,0.0,0,3,60,500~599만원
2022,6,PN20210913,A40210913,,,대형마트,대형마트,,2022-06-18,7,이마트풍산점,,,망고스틴_외국산,P,과일류,열대과일,기타열대과일,,10800.0,.,1,,500,G,.,,.,,,,.,,2.0,,,,,,,,,,21.0,.,2,30,700만원 이상
2010,3,PN00001227,A20001227,,,슈퍼마켓,슈퍼마켓,,2010-03-03,4,소형슈퍼마켓,,인천,바나나,,과일류,바나나,일반바나나,,2900.0,,1,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,5,30,300~399만원
2013,8,PN00001015,A20001015,,,슈퍼마켓,기업형슈퍼마켓,,2013-08-28,4,롯데슈퍼동소문점,,서울,바나나,,과일류,바나나,일반바나나,,2990.0,,1,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,,0,,,0.0,0,4,40,600~699만원
2015,12,PN00000655,A20000655,,,전문점,전문점,,2015-12-26,7,전문점,,서울,단감,,과일류,단감,단감,,10000.0,.,7,개,.,,.,,,,.,,,,,,,,5전문점,전문점,.,0,,,0.0,0,4,40,400~499만원
2012,9,PN00000585,A20000585,,,슈퍼마켓,슈퍼마켓,,2012-09-11,3,소형슈퍼마켓,,경기,사과,,과일류,사과,기타사과,,6000.0,,5,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,4,30,300~399만원
2019,4,PN00001251,A20001251,,,대형마트,대형마트,,2019-04-27,7,롯데마트김포한강점,,경기,오렌지_미국산_,,과일류,오렌지,오렌지,,6930.0,2,1,박스,.,,.,,,,.,,,0,,,,,1대형마트,대형마트,2,0,,,0.0,0,4,50,600~699만원
2023,9,PN00000123,,직접방문,,전문점,전문점,,2023-09-20,4,일하나청과,,경기,배,PR1020_0446788,과일류,배,기타배,,90000.0,,1.0,,10.0,KG,,,,,,,,단가없음,유,,,,,,,,,,0.0,0,2,60,700만원 이상
2015,12,PN20150404,A40150404,,,슈퍼마켓,슈퍼마켓,,2015-12-17,5,대형슈퍼마켓,,경기,감_국내산_,,과일류,떫은감,일반떫은감,,5000.0,.,1,박스,.,,20,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,15.0,0,1,40,200만원 미만
2022,10,PN20210763,A40210763,,,대형마트,대형마트,,2022-10-03,2,롯데쇼핑(주)VICMARKET영등포점,S,서울,마운틴바나나,P,과일류,바나나,일반바나나,,2980.0,.,1,,.,,.,,.,,,,2,,,,,,,,,,,,21.0,.,1,30,700만원 이상
2014,2,PN00001333,A20001333,,,전문점,전문점,,2014-02-28,6,전문점,,서울,귤,,과일류,감귤,밀감,,3000.0,,1,개,.,,12,입,,,.,,,,,,,,5전문점,전문점,.,0,,,0.0,1,2,30,200~299만원
2011,10,PN00000590,A20000590,,,슈퍼마켓,슈퍼마켓,,2011-10-07,6,소형슈퍼마켓,,서울,배,,과일류,배,기타배,,5000.0,,1,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,6,30,300~399만원
2013,1,PN00001327,A20001327,,,온라인몰,인터넷구매,,2013-01-29,3,인터넷구매,,없음,한라봉,,과일류,감귤,한라봉,,35000.0,,1,박스,5,KG,.,,,,5,KG,,,,,,,6무점포,인터넷구매,,0,,,0.0,0,3,30,500~599만원
2010,4,PN00000706,A20000706,,,슈퍼마켓,슈퍼마켓,,2010-04-20,3,소형슈퍼마켓,,서울,한라봉,,과일류,감귤,한라봉,,5000.0,,1,개,.,,5,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,3,40,300~399만원
2014,1,PN00000023,A20000023,,,전통시장,전통시장,,2014-01-14,3,재래시장,,경기,사과,,과일류,사과,기타사과,,5000.0,,1,봉,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,2,50,400~499만원
2010,11,PN00000242,A20000242,,,슈퍼마켓,기업형슈퍼마켓,,2010-11-10,4,기업형슈퍼마켓일반,,경기,감귤,,과일류,감귤,밀감,,3500.0,.,1,망,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,.,0,,,0.0,0,4,50,200~299만원
2010,10,PN00000970,A20000970,,,슈퍼마켓,슈퍼마켓,,2010-10-20,4,소형슈퍼마켓,,서울,신고배,,과일류,배,신고배,,4980.0,.,1,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,5,50,200만원 미만
2016,10,PN00000292,A20000292,,,슈퍼마켓,기업형슈퍼마켓,,2016-10-03,2,농협수원유통센터,,경기,머루포도특_국내산_,,과일류,포도,머루포도_MBA_,,9900.0,.,1,박스,3,KG,.,,,,3,KG,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,4,40,400~499만원
2015,12,PN20150736,A40150736,,,전통시장,전통시장,,2015-12-30,4,재래시장,,서울,사과,,과일류,사과,기타사과,,5000.0,.,7,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,15.0,0,3,60,500~599만원
2013,7,PN00000188,A20000188,,,슈퍼마켓,슈퍼마켓,,2013-07-17,4,소형슈퍼마켓,,경기,사과,,과일류,사과,기타사과,,4000.0,,2,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,4,50,500~599만원
2010,3,PN00000899,A20000899,,,전통시장,전통시장,,2010-03-11,5,재래시장,,서울,귤,,과일류,감귤,밀감,,10000.0,,1,박스,.,,50,입,,,.,,,,,,,,2전통시장,전통시장,,0,,,0.0,0,3,50,200~299만원
2014,6,PN00000838,A20000838,,,전통시장,전통시장,,2014-06-08,1,재래시장,,서울,바나나,,과일류,바나나,일반바나나,,3000.0,.,1,송이,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,5,40,600~699만원
2020,4,PN00000408,A20000408,,,전통시장,전통시장,,2020-04-24,6,없음,,없음,델몬트바나나_수입산_필리핀산_,,과일류,바나나,일반바나나,,2500.0,.,1,송이,500,G,.,,,,1,KG,,0,,,,,8기타,기타,1,0,,,0.0,0,3,50,200~299만원
2011,3,PN00000822,A20000822,,,슈퍼마켓,기업형슈퍼마켓,,2011-03-24,5,홈플러스익스프레스서울오류점,,서울,하우스밀감,,과일류,감귤,밀감,,3980.0,,2,봉,.,,0,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,.,0,,,0.0,0,4,50,200~299만원
2012,5,PN00000625,A20000625,,,슈퍼마켓,기업형슈퍼마켓,,2012-05-06,1,팔탄농협하나로마트본점,,경기,P키위,,과일류,참다래,기타키위,,4000.0,,1,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,,0,,,0.0,0,4,30,200~299만원
2014,4,PN00000118,A20000118,,,무점포,무점포,,2014-04-19,7,노점,,없음,씨없는청포도,,과일류,포도,청포도,,10000.0,.,2,팩,.,,.,,,,.,,,,,,,,6무점포,무점포,.,0,,,0.0,0,3,50,700만원 이상
2012,2,PN00000526,A20000526,,,슈퍼마켓,슈퍼마켓,,2012-02-18,7,대형슈퍼마켓,,경기,귤5호,,과일류,감귤,밀감,,34000.0,,1,박스,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,4,40,200~299만원
2010,11,PN00001155,A20001155,,,슈퍼마켓,슈퍼마켓,,2010-11-23,3,소형슈퍼마켓,,서울,석류수입산_,,과일류,열대과일,석류,,5000.0,.,1,팩,.,,3,개,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,50,300~399만원
2010,2,PN00000312,A20000312,,,무점포,무점포,,2010-02-08,2,노점,,없음,제주귤,,과일류,감귤,밀감,,18000.0,,1,봉,15,KG,.,,,,15,KG,,,,,,,6무점포,무점포,,0,,,0.0,0,4,50,300~399만원
2019,5,PN00000645,A20000645,,,슈퍼마켓,기업형슈퍼마켓,,2019-05-15,4,GS수퍼마켓신사점,,서울,체리_미국산_,,과일류,체리,체리,,19960.0,4,2,,500,G,.,,,,1,KG,,,,,,,3슈퍼마켓,기업형슈퍼마켓,2,0,,,0.0,0,2,40,300~399만원
2015,11,PN00001189,A20001189,,,슈퍼마켓,기업형슈퍼마켓,,2015-11-21,7,농협하나로마트인천점,,인천,감귤_국내산_,,과일류,감귤,밀감,,12500.0,.,1,박스,5,KG,.,,,,5,KG,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,4,40,600~699만원
2019,10,PN00000646,A20000646,,,슈퍼마켓,슈퍼마켓,,2019-10-29,3,없음,,없음,바나나_필리핀산_,,과일류,바나나,일반바나나,,3000.0,.,1,줄,.,,.,,,,.,,,,,,,,8기타,기타,1,0,,,0.0,0,3,60,700만원 이상
2010,2,PN00000574,A20000574,,,슈퍼마켓,슈퍼마켓,,2010-02-11,5,소형슈퍼마켓,,경기,수입바나나,,과일류,바나나,일반바나나,,5000.0,,2,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,2,50,300~399만원
2015,3,PN20150397,A40150397,,,슈퍼마켓,슈퍼마켓,,2015-03-28,7,대형슈퍼마켓,,경기,오렌지_미국산_,,과일류,오렌지,오렌지,,10000.0,.,1,봉,.,,10,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,15.0,1,2,60,200만원 미만
2018,10,PN20150393,A40150393,,,농가직거래,농가직거래,,2018-10-29,2,영풍농원,,경북,청송사과,,과일류,사과,기타사과,,40000.0,.,1,,10,KG,.,,,,10,KG,,,,.,,,8기타,농가직거래,.,0,,,15.0,0,2,60,300~399만원
2020,3,PN00001454,A20001454,,,전통시장,전통시장,,2020-03-04,4,없음,,없음,바나나,,과일류,바나나,일반바나나,,4000.0,.,1,묶음,.,,.,,,,.,,,0,,,,,8기타,기타,.,0,,,0.0,0,3,50,400~499만원
2012,1,PN00001390,A20001390,,,편의점,편의점,,2012-01-01,1,편의점,,서울,제주감귤,,과일류,감귤,밀감,,2900.0,,1,개,.,,.,,,,.,,,,,,,,4편의점,편의점,,0,,,0.0,0,1,30,200~299만원
2022,8,PN20210297,A40210297,,,슈퍼마켓,슈퍼마켓,,2022-08-26,6,GS더프레시,,경기,아오리사과_국산,P,과일류,사과,아오리,,4600.0,.,1,,2,KG,7,,.,,,,.,,,,,,,,,,,,21.0,.,2,20,700만원 이상
2016,2,PN00000779,A20000779,,,슈퍼마켓,슈퍼마켓,,2016-02-06,7,대형슈퍼마켓,,서울,친환경단감,,과일류,단감,단감,,2980.0,.,1,봉,.,,5,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,6,40,700만원 이상
2014,2,PN00000080,A20000080,,,대형마트,대형마트,,2014-02-21,6,2001아울렛철산점,,경기,네이블오렌지_미국산_,,과일류,오렌지,오렌지,,3950.0,,5,개,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,0.0,0,5,40,600~699만원
2020,3,PN20150757,A40150757,,,슈퍼마켓,슈퍼마켓,,2020-03-10,3,농민식자재마트,,경기,바나나,,과일류,바나나,일반바나나,,2980.0,.,1,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,15.0,0,3,60,700만원 이상
2016,5,PN20150540,A40150540,,,대형마트,대형마트,,2016-05-14,7,이마트검단점,,인천,치키타프리미엄바나나,,과일류,바나나,일반바나나,,3130.0,.,1,송이,.,,.,,,,.,,,,,,,,1대형마트,대형마트,2,0,,,15.0,0,1,30,300~399만원
2016,7,PN00000307,A20000307,,,슈퍼마켓,슈퍼마켓,,2016-07-19,3,대형슈퍼마켓,,경기,스위트마운틴바나나,,과일류,바나나,일반바나나,,3960.0,.,2,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,4,40,400~499만원
2010,12,PN00000155,A20000155,,,기타,기타,,2010-12-27,2,기타,,없음,귤,,과일류,감귤,밀감,,5000.0,.,1,개,.,,30,입,,,.,,,,,,,,8기타,기타,.,0,,,0.0,0,6,30,400~499만원
2013,8,PN00001324,A20001324,,,슈퍼마켓,슈퍼마켓,,2013-08-19,2,대형슈퍼마켓,,경기,그린키위,,과일류,참다래,그린키위,,2850.0,,12,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,3,40,300~399만원
2017,3,PN00000618,A20000618,,,슈퍼마켓,슈퍼마켓,,2017-03-22,4,하이웨이식자재마트병점점,,경기,바나나,,과일류,바나나,일반바나나,,2980.0,.,1,송이,.,,.,,,,.,,,,,,n,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,40,300~399만원
2011,1,PN00000740,A20000740,,,슈퍼마켓,슈퍼마켓,,2011-01-19,4,소형슈퍼마켓,,서울,귤,,과일류,감귤,밀감,,4000.0,,1,봉,.,,24,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,50,200만원 미만
2023,8,PN00001186,,직접방문,,무점포,무점포,,2023-08-31,5,막퍼주는과일,,인천,사과_국내산,PR1020_0514851,과일류,사과,기타사과,국내산,15000.0,,1.0,,2.0,KG,,,,,,,,,유,,,,,,,,,,0.0,0,2,60,200~299만원
2020,1,PN00001141,A20001141,,,슈퍼마켓,슈퍼마켓,,2020-01-23,5,우림시장식자재마트,,서울,델몬트바나나,,과일류,바나나,일반바나나,,4980.0,.,1,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,9,0,,,0.0,0,2,60,200~299만원
2014,8,PN00001323,A20001323,,,대형마트,대형마트,,2014-08-09,7,롯데마트서현점,,경기,체리,,과일류,체리,체리,,6900.0,,1,팩,.,,.,,,,.,,,,,,,,1대형마트,대형마트,2,0,,,0.0,0,4,40,700만원 이상
2014,5,PN00000957,A20000957,,,슈퍼마켓,기업형슈퍼마켓,,2014-05-02,6,기업형슈퍼마켓일반,,서울,청과류,,과일류,기타과일,기타과일,,4800.0,.,1,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,2,50,400~499만원
2016,12,PN00001373,A20001373,,,슈퍼마켓,슈퍼마켓,,2016-12-08,5,소형슈퍼마켓,,서울,바나나,,과일류,바나나,일반바나나,,2980.0,.,1,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,2,0,,,0.0,0,1,40,300~399만원
