year,month,panel_code,panel_code_new,type_method,type_method_etc,type_channel_new,type_channel,type_channel_etc,shop_day,shop_week,store,store_code,store_region,product,product_code,wide,middle,detail,country,purchase,discount,quantity,q_unit,weight_quantity,w_q_unit,multi_quantity,m_unit,w_multi_quantity,w_multi_unit,w_q_kg,w_q_kg_unit,unit_cost,special_diary,bill,bundle,payment,retail,retail_8,retail_new,shop_time,take_out,transport_pre,transport_post,panel_type,edit,family_num_level,age1_group,income_v2
2023,4,PN20210924,,직접방문,,농가직거래,농가직거래,,2023-04-24,2,청송사과,,경기,청송사과부사_국내산,PR2023_0057140,과일류,사과,후지,국내산,25000.0,,1.0,봉,5.0,KG,,,,,,,,,무,,,,,,,,,,21.0,0,5,50,700만원 이상
2021,2,PN20150471,A40150471,,,전문점,전문점,,2021-02-06,7,우리생협OASIS수원정자점,S,경기,레드향_오아_국산,P,과일류,감귤,기타감귤,,34800.0,2,1,개,33,KG,11,,3,K,33,KG,3.0,1,,,,,5전문점,전문점,1,0,,,15.0,0,1,50,400~499만원
2017,11,PN00000747,A20000747,,,슈퍼마켓,슈퍼마켓,,2017-11-03,6,가락시장할인마트,,인천,바나나,,과일류,바나나,일반바나나,,5500.0,.,1,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,2,0,,,0.0,0,2,50,500~599만원
2023,10,PN00001429,,직접방문,,전문점,전문점,,2023-10-29,1,한살림비산매장,,경기,극조생귤_유_국산,PR2122_0001107,과일류,감귤,밀감,국내산,4000.0,3000.0,1.0,,,,,,1.5,KG,,,7000.0,,유,,,,,,,,,,0.0,0,2,60,200만원 미만
2013,7,PN00000588,A20000588,,,전통시장,전통시장,,2013-07-24,4,재래시장,,경기,포도,,과일류,포도,기타포도,,5000.0,,1,봉,.,,.,,,,.,,,,,,,,2전통시장,전통시장,,0,,,0.0,0,6,30,600~699만원
2016,9,PN20150779,A40150779,,,전통시장,전통시장,,2016-09-29,5,전통시장,,서울,홍옥사과,,과일류,사과,홍옥,,7000.0,.,5,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,15.0,0,1,60,200만원 미만
2017,7,PN20150737,A40150737,,,전통시장,전통시장,,2017-07-20,5,전통시장,,서울,키위_국내산_,,과일류,참다래,기타키위,,10000.0,.,10,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,15.0,0,3,60,200만원 미만
2020,11,PN00000393,A20000393,,,슈퍼마켓,기업형슈퍼마켓,,2020-11-07,7,주식회사성경기업마트,,경기,바나나,,과일류,바나나,일반바나나,,2000.0,.,1,,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,3,50,300~399만원
2016,6,PN00001067,A20001067,,,슈퍼마켓,슈퍼마켓,,2016-06-20,2,소형슈퍼마켓,,서울,바나나1송이,,과일류,바나나,일반바나나,,2980.0,.,1,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,2,60,400~499만원
2017,9,PN00000855,A20000855,,,무점포,무점포,,2017-09-01,6,노점,,없음,바나나,,과일류,바나나,일반바나나,,3000.0,.,1,송이,.,,.,,,,.,,,,,,,,6무점포,무점포,.,0,,,0.0,0,3,60,600~699만원
2023,2,PN00000031,,모바일주문,,온라인몰,온라인몰,,2023-02-10,6,홈&쇼핑,,없음,산들앤세척사과_국내산,PR2023_0022666,과일류,사과,기타사과,국내산,38610.0,,2.0,박스,7.0,KG,,,3.5,KG,,,,,무,,,,,,,,,,0.0,0,3,50,700만원 이상
2018,5,PN00000484,A20000484,,,슈퍼마켓,슈퍼마켓,,2018-05-19,7,농부의장터,,경기,바나나_필리핀산_,,과일류,바나나,일반바나나,,2500.0,.,1,송이,.,,.,,,,.,,,,,.,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,3,60,500~599만원
2015,10,PN00001149,A20001149,,,대형마트,대형마트,,2015-10-31,7,홈플러스스토어즈면목점,,서울,바나나_필리핀산_,,과일류,바나나,일반바나나,,2970.0,.,1,송이,.,,.,,,,.,,,,,,,,1대형마트,대형마트,2,0,,,0.0,0,4,40,500~599만원
2014,4,PN00000469,A20000469,,,슈퍼마켓,슈퍼마켓,,2014-04-08,3,소형슈퍼마켓,,없음,크림슨포도,,과일류,포도,적포도,,4520.0,.,1,개,1500,G,.,,,,2,KG,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,3,40,400~499만원
2012,3,PN00001324,A20001324,,,슈퍼마켓,기업형슈퍼마켓,,2012-03-28,4,기업형슈퍼마켓일반,,경기,한입사과,,과일류,사과,기타사과,,6980.0,,1,개,1500,G,.,,,,2,KG,,,,,,,3슈퍼마켓,기업형슈퍼마켓,,0,,,0.0,0,3,30,200~299만원
2023,5,PN20211056,,직접방문,,대형마트,대형마트,,2023-05-04,5,트레이더스홀세일클럽구성,,경기,세콰이어오렌지,PR1020_0582221,과일류,오렌지,오렌지,,19580.0,5000,1.0,,6.0,KG,,,,,,,24580,,유,,,,,,,,,,21.0,0,5,40,700만원 이상
2023,1,PN20210314,,직접방문,,슈퍼마켓,슈퍼마켓,,2023-01-01,1,홈플러스익스프레스서현점,,경기,고당도타이벡밀감국산귤,PR2023_0001606,과일류,감귤,밀감,국내산,11900.0,,1.0,박스,,,,,,,,,11900,2,유,,,,,,,,,,21.0,0,1,60,200~299만원
2012,12,PN00000969,A20000969,,,대형마트,대형마트,,2012-12-15,7,코스트코코리아양재점,,서울,그린키위,,과일류,참다래,그린키위,,14990.0,,1,팩,.,,.,,,,.,,,,,,,,1대형마트,대형마트,,0,,,0.0,0,2,50,200만원 미만
2020,10,PN20150390,A40150390,,,슈퍼마켓,슈퍼마켓,,2020-10-29,5,주식회사케이원유통,,경기,조생귤_국산_,,과일류,감귤,밀감,,7800.0,.,1,박스,5,KG,1,박스,,,5,KG,,,,,,,8기타,기타,1,0,,,15.0,0,2,60,200~299만원
2019,9,PN20150527,A40150527,,,무점포,무점포,,2019-09-03,3,없음,,없음,사과,,과일류,사과,기타사과,,10000.0,.,8,,.,,.,,,,.,,,,,,,,8기타,기타,1,0,,,15.0,0,3,60,500~599만원
2016,6,PN00000451,A20000451,,,슈퍼마켓,기업형슈퍼마켓,,2016-06-03,6,용인농협파머스마켓,,경기,포도거봉,,과일류,포도,거봉,,31500.0,.,1,박스,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,4,60,200만원 미만
2014,12,PN00000337,A20000337,,,대형마트,대형마트,,2014-12-22,2,롯데마트시화점,,경기,바나나,,과일류,바나나,일반바나나,,3900.0,.,1,송이,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,0.0,0,4,40,400~499만원
2020,12,PN00000884,A20000884,,,슈퍼마켓,슈퍼마켓,,2020-12-12,7,동북쇼핑식자재마트,,서울,체리,,과일류,체리,체리,,8600.0,.,1,,200,G,.,,,,0,KG,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,1,60,200만원 미만
2019,1,PN00001128,A20001128,,,전통시장,전통시장,,2019-01-17,5,우리농산물유통센타,,서울,귤,,과일류,감귤,밀감,,10000.0,.,1,박스,5,KG,.,,,,5,KG,,,,,,,3슈퍼마켓,슈퍼마켓,9,0,,,0.0,0,5,40,700만원 이상
2016,1,PN20150917,A40150917,,,전문점,전문점,,2016-01-25,2,전문점,,울산,귤,,과일류,감귤,밀감,,16000.0,.,1,박스,10,KG,.,,,,10,KG,,,,,,,5전문점,전문점,1,0,,,15.0,0,4,40,400~499만원
2017,2,PN20150507,A40150507,,,대형마트,대형마트,,2017-02-15,4,홈플러스간석점,,인천,맛이예쁜사과,,과일류,사과,기타사과,,8990.0,.,7,개,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,15.0,0,1,40,300~399만원
2019,12,PN20150415,A40150415,,,대형마트,대형마트,,2019-12-19,5,이마트부천점,,경기,DOLE유기농바나나,,과일류,바나나,일반바나나,,4980.0,.,1,,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,15.0,0,4,50,700만원 이상
2021,1,PN00000924,A20000924,,,전문점,전문점,,2021-01-29,6,과일야채,S,경기,귤,P,과일류,감귤,밀감,,3000.0,.,1,,1475,G,15,개,9,G,1,KG,3.0,,,,,,5전문점,전문점,1,0,,,0.0,0,3,50,700만원 이상
2022,12,PN20210213,A40210213,,,온라인몰,온라인몰,,2022-12-27,3,이마트트레이더스수원점,,없음,제주감귤_국산,P,과일류,감귤,밀감,,14480.0,.,1,,5,KG,.,,.,,,,.,,,,,,,,,,,,21.0,1,3,50,200~299만원
2011,2,PN00000855,A20000855,,,슈퍼마켓,슈퍼마켓,,2011-02-16,4,참조은농산물마트,,서울,감귤,,과일류,감귤,밀감,,11000.0,,1,박스,.,,0,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,60,200~299만원
2010,4,PN00001221,A20001221,,,슈퍼마켓,슈퍼마켓,,2010-04-13,3,소형슈퍼마켓,,인천,청과류,,과일류,기타과일,기타과일,,5000.0,,1,봉,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,2,50,200만원 미만
2022,3,PN00000430,A20000430,,,대형마트,대형마트,,2022-03-21,2,롯데쇼핑안양시_롯데쇼핑(주)롯데식품관평촌점,,경기,멕시코산아보카도,P,과일류,열대과일,기타열대과일,,13900.0,.,1,,.,,.,,.,,,,1,,,,,,,,,,,,0.0,.,4,50,600~699만원
2022,9,PN00000957,A20000957,,,무점포,무점포,,2022-09-07,4,무점포,S,서울,자두,P,과일류,자두,자두,,10000.0,.,6,개,.,,.,,.,,,,.,,,,,,,,,,,,0.0,.,2,60,400~499만원
2021,6,PN00000664,A20000664,,,무점포,무점포,,2021-06-16,4,무점포,S,서울,살구,P,과일류,기타과일,기타과일,,10000.0,.,1,,1200,G,20,,6,G,1,KG,1.0,,,,,,6무점포,무점포,.,0,,,0.0,0,4,50,700만원 이상
2017,9,PN20150765,A40150765,,,전문점,전문점,,2017-09-05,3,전문점,,서울,안동햇사과,,과일류,사과,기타사과,,5000.0,.,7,개,.,,.,,,,.,,,,,,,,5전문점,전문점,.,0,,,15.0,0,3,60,500~599만원
2016,2,PN20150486,A40150486,,,대형마트,대형마트,,2016-02-24,4,이마트트레이더스구성점,,경기,DOLE스위티오바나나,,과일류,바나나,일반바나나,,4480.0,.,1,송이,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,15.0,0,3,60,200~299만원
2016,12,PN20150445,A40150445,,,전통시장,전통시장,,2016-12-17,7,슈퍼,,경기,과일,,과일류,기타과일,기타과일,,14300.0,.,1,봉,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,15.0,0,2,60,200만원 미만
2014,9,PN00000250,A20000250,,,대형마트,대형마트,,2014-09-12,6,이마트분당점,,경기,상주캠벨포도,,과일류,포도,캠벨얼리,,9900.0,,1,박스,3,KG,.,,,,3,KG,,,,,,,1대형마트,대형마트,1,0,,,0.0,0,4,40,600~699만원
2023,1,PN20210490,,직접방문,,대형마트,대형마트,,2023-01-12,5,홈플러스화성향남점,,경기,DOLE_필리핀큰바나나,PR2023_0000493,과일류,바나나,일반바나나,,5490.0,500,1.0,,2119.0,G,,,,,,,5990,,유,,,,,,,,,,21.0,0,3,40,700만원 이상
2014,10,PN00000940,A20000940,,,대형마트,대형마트,,2014-10-22,4,홈플러스합정점,,서울,김숙왕바나나_필리핀산_,,과일류,바나나,일반바나나,,3920.0,.,1,송이,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,0.0,0,3,50,300~399만원
2021,6,PN00000764,A20000764,,,전통시장,전통시장,,2021-06-26,7,스마일과일촌,S,서울,자두,P,과일류,자두,자두,,4000.0,.,1,바구니,.,,.,,.,,.,,4.0,,,,,,5전문점,전문점,1,0,,,0.0,0,3,50,400~499만원
2022,7,PN20210094,A40210094,,,슈퍼마켓,슈퍼마켓,,2022-07-18,2,찾아가는과일,,경기,천도복숭아,P,과일류,복숭아,천도,,6000.0,.,7,개,970,G,.,,.,,,,.,,1.0,,,,,,,,,,21.0,.,1,40,300~399만원
2016,7,PN20150385,A40150385,,,기타,기타,,2016-07-05,3,기타,,없음,자두,,과일류,자두,자두,,4000.0,.,1,봉,.,,.,,,,.,,,,,,,,8기타,기타,.,0,,,15.0,0,1,30,200만원 미만
2022,7,PN20150461,A40150461,,,대형마트,대형마트,,2022-07-06,4,롯데마트강변점,,서울,황도복숭아,P,과일류,복숭아,황도,,9990.0,.,1,묶음,.,,6,입,.,,,,9,,1.0,,,,,,,,,,15.0,1,3,30,500~599만원
2012,4,PN00000503,A20000503,,,대형마트,대형마트,,2012-04-14,7,대형마트,,경기,블루베리,,과일류,베리,블루베리,,2000.0,,1,팩,.,,.,,,,.,,,,,,,,1대형마트,대형마트,,0,,,0.0,0,2,50,300~399만원
2022,8,PN00001063,A20001063,,,온라인몰,온라인몰,,2022-08-12,6,쿠팡,,없음,감귤_국산,P,과일류,감귤,밀감,,4800.0,.,1,팩,500,G,.,,.,,,,.,,,,,,,,,,,,0.0,.,1,70,300~399만원
2019,2,PN20150399,A40150399,,,슈퍼마켓,소형슈퍼마켓,,2019-02-04,2,설악할인마트,,경기,단감_국내산_,,과일류,단감,단감,,3000.0,.,1,봉,.,,5,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,15.0,0,3,60,500~599만원
2013,6,PN00000151,A20000151,,,전통시장,전통시장,,2013-06-15,7,재래시장,,경기,바나나,,과일류,바나나,일반바나나,,4000.0,,1,송이,.,,.,,,,.,,,,,,,,2전통시장,전통시장,,0,,,0.0,0,4,30,200~299만원
2012,12,PN00000091,A20000091,,,전통시장,전통시장,,2012-12-22,7,재래시장,,경기,단감,,과일류,단감,단감,,6000.0,,2,봉,.,,.,,,,.,,,,,,,,2전통시장,전통시장,,0,,,0.0,0,4,30,300~399만원
2022,10,PN20210828,A40210828,,,슈퍼마켓,슈퍼마켓,,2022-10-01,7,SRM에스알마트,,인천,고당도바나나_필리핀산,P,과일류,바나나,일반바나나,,3980.0,.,1,송이,1,KG,.,,.,,,,3,,,,,,,,,,,,21.0,1,4,40,400~499만원
2019,10,PN00000624,A20000624,,,슈퍼마켓,기업형슈퍼마켓,,2019-10-06,1,발안농협하나로마트,,경기,감귤_국산_,,과일류,감귤,밀감,,3000.0,.,1,,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,4,40,400~499만원
2013,9,PN00001135,A20001135,,,대형마트,대형마트,,2013-09-21,7,대형마트,,경기,거봉,,과일류,포도,거봉,,13900.0,,1,박스,2,KG,.,,,,2,KG,,,,,,,1대형마트,대형마트,,0,,,0.0,0,3,40,400~499만원
2016,5,PN00000331,A20000331,,,슈퍼마켓,기업형슈퍼마켓,,2016-05-19,5,롯데마켓999신촌점,,서울,네이블오렌지,,과일류,오렌지,오렌지,,13930.0,.,7,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,4,60,700만원 이상
2015,4,PN00000370,A20000370,,,슈퍼마켓,기업형슈퍼마켓,,2015-04-08,4,홈플러스익스프레스안산월피2점,,경기,HMP한라봉,,과일류,감귤,한라봉,,9900.0,.,1,봉,2,KG,.,,,,2,KG,,,,,,,3슈퍼마켓,기업형슈퍼마켓,2,0,,,0.0,0,6,50,500~599만원
2019,2,PN00000687,A20000687,,,전통시장,전통시장,,2019-02-12,3,없음,,부산,바나나,,과일류,바나나,일반바나나,,3500.0,.,1,송이,.,,.,,,,.,,,,,,,,8기타,기타,.,0,,,0.0,0,4,40,600~699만원
2014,11,PN00000293,A20000293,,,전통시장,전통시장,,2014-11-02,1,재래시장,,경기,단감,,과일류,단감,단감,,4000.0,.,7,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,3,40,200~299만원
2010,11,PN00000128,A20000128,,,슈퍼마켓,슈퍼마켓,,2010-11-24,4,대형슈퍼마켓,,경기,감귤,,과일류,감귤,밀감,,15000.0,.,1,개,10,KG,.,,,,10,KG,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,2,50,200만원 미만
2017,9,PN20150506,A40150506,,,슈퍼마켓,기업형슈퍼마켓,,2017-09-25,2,롯데슈퍼김포전원점,,경기,초이스엘프레시참살이자두_국내산_,,과일류,자두,자두,,5990.0,.,1,봉,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,15.0,0,2,30,400~499만원
2020,1,PN00000078,A20000078,,,슈퍼마켓,슈퍼마켓,,2020-01-22,4,모닝식자재마트,,경기,한라봉_국내산_,,과일류,감귤,한라봉,,117000.0,.,3,박스,.,,.,,,,.,,,0,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,4,40,400~499만원
2015,8,PN00000080,A20000080,,,대형마트,대형마트,,2015-08-23,1,2001아울렛철산점,,경기,고당도바나나,,과일류,바나나,일반바나나,,2990.0,.,1,송이,.,,10,입,,,.,,,,,,,,1대형마트,대형마트,1,0,,,0.0,0,5,40,600~699만원
2011,7,PN00001005,A20001005,,,대형마트,대형마트,,2011-07-22,6,롯데마트중계점,,서울,고산지바나나,,과일류,바나나,일반바나나,,3080.0,,1,개,.,,.,,,,.,,,,,,,,1대형마트,대형마트,.,0,,,0.0,0,4,30,200만원 미만
2011,6,PN00000081,A20000081,,,슈퍼마켓,기업형슈퍼마켓,,2011-06-04,7,홈플러스광명철산점,,경기,HMPG사과,,과일류,사과,기타사과,,2400.0,,1,개,1200,G,.,,,,1,KG,,,,,,,1대형마트,대형마트,.,0,,,0.0,0,4,30,200~299만원
2020,1,PN20150724,A40150724,,,슈퍼마켓,기업형슈퍼마켓,,2020-01-01,4,농협하나로마트창동점,,서울,떫은감_대봉시_국산_,,과일류,떫은감,대봉시,,4976.0,.,1,,1276,G,.,,,,1,KG,,0,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,15.0,0,2,60,300~399만원
2010,11,PN00000489,A20000489,,,전통시장,전통시장,,2010-11-18,5,재래시장,,경기,귤,,과일류,감귤,밀감,,8000.0,.,1,봉지,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,4,30,300~399만원
2016,10,PN00000897,A20000897,,,슈퍼마켓,슈퍼마켓,,2016-10-12,4,소형슈퍼마켓,,서울,연시,,과일류,떫은감,홍시,,1980.0,.,1,봉,.,,10,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,4,50,500~599만원
2020,1,PN20150422,A40150422,,,슈퍼마켓,슈퍼마켓,,2020-01-03,6,원흥그린마트,,경기,단감,,과일류,단감,단감,,4500.0,.,1,줄,.,,5,개,,,.,,,0,,,,,3슈퍼마켓,슈퍼마켓,2,0,,,15.0,0,1,50,200~299만원
2023,5,PN20210211,,모바일주문,,온라인몰,온라인몰,,2023-05-02,3,청송홈골농원,,없음,사과경북부사못난이꿀사과,PR2023_0052252,과일류,사과,후지,,19900.0,,1.0,,,,30,과,5,KG,,,,,유,,,,,,,,,,21.0,0,4,50,500~599만원
2016,3,PN00000462,A20000462,,,대형마트,대형마트,,2016-03-23,4,2001아울렛분당점,,경기,스위티오바나나_필리핀산_,,과일류,바나나,일반바나나,,2990.0,.,1,송이,.,,.,,,,.,,,,,,,,1대형마트,대형마트,2,0,,,0.0,0,3,50,700만원 이상
